STATE,Year,Total,Number,"Standard
error",Percent,"Standard
error"
Maryland,2017,5967,467,62,7.8,1
Massachusetts,2017,6796,724,63,10.6,0.9
Michigan,2017,9889,1259,95,12.7,1
Minnesota,2017,5619,519,66,9.2,1.2
Mississippi,2017,2947,538,41,18.3,1.4
Missouri,2017,5979,666,86,11.1,1.4
Montana,2017,1039,101,10,9.7,0.9
Nebraska,2017,1875,194,23,10.4,1.2
Nevada,2017,2982,409,37,13.7,1.2
New Hampshire,2017,1334,88,13,6.6,0.9
New Jersey,2017,9007,774,82,8.6,0.9
New Mexico,2017,2040,380,30,18.6,1.5
New York,2017,19733,2641,150,13.4,0.8
North Carolina,2017,10292,1494,99,14.5,1
North Dakota,2017,742,84,10,11.3,1.3
Ohio,2017,11502,1458,102,12.7,0.9
Oklahoma,2017,3817,482,46,12.6,1.2
Oregon,2017,4199,430,60,10.2,1.4
Pennsylvania,2017,12571,1411,92,11.2,0.7
Rhode Island,2017,1045,127,15,12.2,1.5
South Carolina,2017,4959,773,56,15.6,1.1
South Dakota,2017,871,91,12,10.4,1.4
Tennessee,2017,6699,769,55,11.5,0.8
Texas,2017,28078,3768,181,13.4,0.6
Utah,2017,3127,269,34,8.6,1.1
Vermont,2017,613,63,8,10.2,1.3
Virginia,2017,8249,847,77,10.3,0.9
Washington,2017,7431,736,63,9.9,0.9
West Virginia,2017,1794,311,28,17.3,1.5
Wisconsin,2017,5808,551,43,9.5,0.7
Wyoming,2017,560,70,8,12.4,1.4
Alabama,2016,4821,782,63,16.2,1.3
Alaska,2016,708,89,12,12.6,1.7
Arizona,2016,6878,1108,79,16.1,1.1
Arkansas,2016,2941,471,28,16,0.9
California,2016,39143,5435,175,13.9,0.4
Colorado,2016,5502,467,51,8.5,0.9
Connecticut,2016,3567,351,45,9.8,1.3
Delaware,2016,947,110,12,11.6,1.3
District of Columbia,2016,685,112,7,16.3,1
Florida,2016,20524,2659,125,13,0.6
Georgia,2016,10270,1580,116,15.4,1.1
Hawaii,2016,1392,129,17,9.3,1.2
Idaho,2016,1679,187,17,11.1,1
Illinois,2016,12583,1517,102,12.1,0.8
Indiana,2016,6493,768,67,11.8,1
Iowa,2016,3099,302,29,9.8,0.9
Kansas,2016,2859,321,33,11.2,1.2
Kentucky,2016,4383,667,57,15.2,1.3
Louisiana,2016,4573,923,46,20.2,1
Maine,2016,1317,167,19,12.7,1.4
Maryland,2016,5930,424,54,7.1,0.9
Massachusetts,2016,6775,649,56,9.6,0.8
Michigan,2016,9875,1091,82,11.1,0.8
Minnesota,2016,5430,470,49,8.7,0.9
Mississippi,2016,2943,622,46,21.1,1.5
Missouri,2016,5878,762,73,13,1.2
Montana,2016,1031,121,10,11.7,1
Nebraska,2016,1870,179,26,9.6,1.4
Nevada,2016,2941,298,38,10.1,1.3
New Hampshire,2016,1316,84,11,6.4,0.8
New Jersey,2016,8836,828,82,9.4,0.9
New Mexico,2016,2043,364,33,17.8,1.6
New York,2016,19459,2314,146,11.9,0.7
North Carolina,2016,10056,1363,105,13.6,1
North Dakota,2016,749,83,9,11.1,1.2
Ohio,2016,11442,1573,109,13.7,0.9
Oklahoma,2016,3911,571,73,14.6,1.9
Oregon,2016,4124,486,49,11.8,1.2
Pennsylvania,2016,12526,1396,100,11.1,0.8
Rhode Island,2016,1052,119,15,11.4,1.4
South Carolina,2016,4898,690,60,14.1,1.2
South Dakota,2016,855,124,13,14.5,1.5
Tennessee,2016,6652,988,87,14.9,1.3
Texas,2016,27662,3812,166,13.8,0.6
